OrderID,Date,Time,CustomerName,Item,Category,Quantity,UnitPrice,TotalPrice,PaymentMethod,DineInTakeaway,Rating,WaiterName,Branch,PreparationTime(min),TipAmount
1020,1/20/2025,10:00:00,Customer 20,Sushi,Japanese,2,100,200,Cash,Takeaway,5,Hassan,Heliopolis,30,8
1021,1/21/2025,10:00:00,Customer 21,Burger,Fast Food,2,50,100,Cash,Dine-in,4,Ahmed,Downtown,15,5
1022,1/22/2025,10:00:00,Customer 22,Pizza,Italian,1,80,80,Credit Card,Takeaway,5,Sara,Zamalek,20,10
1023,1/23/2025,10:00:00,Customer 23,Salad,Healthy,3,40,120,Cash,Dine-in,3,Omar,Nasr City,10,3
1024,1/24/2025,10:00:00,Customer 24,Pasta,Italian,1,70,70,Mobile Wallet,Dine-in,4,Laila,Maadi,25,7
1025,1/25/2025,10:00:00,Customer 25,Sushi,Japanese,2,100,200,Cash,Takeaway,5,Hassan,Heliopolis,30,8
1026,1/26/2025,10:00:00,Customer 26,Burger,Fast Food,2,50,100,Cash,Dine-in,4,Ahmed,Downtown,15,5
1027,1/27/2025,10:00:00,Customer 27,Pizza,Italian,1,80,80,Credit Card,Takeaway,5,Sara,Zamalek,20,10
1028,1/28/2025,10:00:00,Customer 28,Salad,Healthy,3,40,120,Cash,Dine-in,3,Omar,Nasr City,10,3
1029,1/29/2025,10:00:00,Customer 29,Pasta,Italian,1,70,70,Mobile Wallet,Dine-in,4,Laila,Maadi,25,7
1030,1/30/2025,10:00:00,Customer 30,Sushi,Japanese,2,100,200,Cash,Takeaway,5,Hassan,Heliopolis,30,8
1031,1/31/2025,10:00:00,Customer 31,Burger,Fast Food,2,50,100,Cash,Dine-in,4,Ahmed,Downtown,15,5
1032,2/1/2025,10:00:00,Customer 32,Pizza,Italian,1,80,80,Credit Card,Takeaway,5,Sara,Zamalek,20,10
1033,2/2/2025,10:00:00,Customer 33,Salad,Healthy,3,40,120,Cash,Dine-in,3,Omar,Nasr City,10,3
1034,2/3/2025,10:00:00,Customer 34,Pasta,Italian,1,70,70,Mobile Wallet,Dine-in,4,Laila,Maadi,25,7
1035,2/4/2025,10:00:00,Customer 35,Sushi,Japanese,2,100,200,Cash,Takeaway,5,Hassan,Heliopolis,30,8
1036,2/5/2025,10:00:00,Customer 36,Burger,Fast Food,2,50,100,Cash,Dine-in,4,Ahmed,Downtown,15,5
1037,2/6/2025,10:00:00,Customer 37,Pizza,Italian,1,80,80,Credit Card,Takeaway,5,Sara,Zamalek,20,10
1038,2/7/2025,10:00:00,Customer 38,Salad,Healthy,3,40,120,Cash,Dine-in,3,Omar,Nasr City,10,3
1039,2/8/2025,10:00:00,Customer 39,Pasta,Italian,1,70,70,Mobile Wallet,Dine-in,4,Laila,Maadi,25,7
1040,2/9/2025,10:00:00,Customer 40,Sushi,Japanese,2,100,200,Cash,Takeaway,5,Hassan,Heliopolis,30,8
1041,2/10/2025,10:00:00,Customer 41,Burger,Fast Food,2,50,100,Cash,Dine-in,4,Ahmed,Downtown,15,5
1042,2/11/2025,10:00:00,Customer 42,Pizza,Italian,1,80,80,Credit Card,Takeaway,5,Sara,Zamalek,20,10
1043,2/12/2025,10:00:00,Customer 43,Salad,Healthy,3,40,120,Cash,Dine-in,3,Omar,Nasr City,10,3
1044,2/13/2025,10:00:00,Customer 44,Pasta,Italian,1,70,70,Mobile Wallet,Dine-in,4,Laila,Maadi,25,7
1045,2/14/2025,10:00:00,Customer 45,Sushi,Japanese,2,100,200,Cash,Takeaway,5,Hassan,Heliopolis,30,8
1046,2/15/2025,10:00:00,Customer 46,Burger,Fast Food,2,50,100,Cash,Dine-in,4,Ahmed,Downtown,15,5
1047,2/16/2025,10:00:00,Customer 47,Pizza,Italian,1,80,80,Credit Card,Takeaway,5,Sara,Zamalek,20,10
1048,2/17/2025,10:00:00,Customer 48,Salad,Healthy,3,40,120,Cash,Dine-in,3,Omar,Nasr City,10,3
1049,2/18/2025,10:00:00,Customer 49,Pasta,Italian,1,70,70,Mobile Wallet,Dine-in,4,Laila,Maadi,25,7
1050,2/19/2025,10:00:00,Customer 50,Sushi,Japanese,2,100,200,Cash,Takeaway,5,Hassan,Heliopolis,30,8
